"","x"
"X",0.763859893296219
"X.1",0.769659011830202
"X2.5717778e.001",0.102992345163535
"X.2.3285230e.002",0.192298770586871
"X.1.4653762e.002",0.122477383437717
"X.9.3840400e.001",0.171189979123173
"X.9.2009078e.001",0.208768267223382
"X.6.6768331e.001",0.191138946880074
"X.9.5250112e.001",0.172117838088611
"X.9.2524867e.001",0.17582927395036
"X.6.7430222e.001",0.24657852006495
"X.8.9408755e.001",0.263048016701461
"X.5.5457721e.001",0.238459754117374
"X.4.6622295e.001",0.267919276270007
"X.2",0.658315935977731
"X7.1720847e.001",0.350962653676641
"X.3",0.684527951751334
"X6.3550240e.001",0.376710739967525
"X.4",0.704012990025516
"X7.8949666e.001",0.369983762468105
"X.8.7776423e.001",0.305497564370216
"X.9.9776606e.001",0.282301090234284
"X.9.9841381e.001",0.273950359545349
"X.9.3434525e.001",0.264903734632336
"X.9.7566897e.001",0.264671769890977
"X.9.4982365e.001",0.258872651356994
"X.8.3047780e.001",0.260728369287868
"X.1.6808416e.001",0.352586406866156
"X.3.7899553e.001",0.355601948503827
"X.5",0.412433310136859
"X2.4621698e.001",0.622129436325679
"X.6",0.474831825562515
"X5.2120364e.001",0.45929018789144
"X.4.8779311e.001",0.549292507538854
"X.7",0.501275806077476
"X4.8228047e.001",0.528879610299234
"X.4.5462113e.002",0.519601020644862
"X.8",0.526327998144282
"X2.1195505e.001",0.462073764787752
"X.1.3489443e.001",0.526096033402923
"X.9",0.5404778473672
"X1.3085848e.001",0.502435629784273
"X.1.4176313e.002",0.553003943400603
"X.1.0597085e.001",0.541869635815356
"X.10",0.481326838320575
"X7.3544013e.002",0.489445604268151
"X.1.7151642e.001",0.532127116678265
"X.11",0.489213639526792
"X4.0062978e.002",0.488285780561355
"X.12",0.492229181164463
"X7.6988933e.002",0.463465553235908
"X.4.9054573e.001",0.47970308513106
"X.7.0900265e.001",0.510786360473208
"X.13",0.547900719090698
"X9.3648925e.001",0.558803061934586
"X.2.8271916e.001",0.551844119693807
"X.14",0.507770818835537
"X1.1528825e.001",0.461145905822315
"X.9.2542727e.001",0.423103688239388
"X.9.3701413e.001",0.371839480398979
"X.5.6428842e.001",0.35467408953839
"X.9.3001992e.001",0.349338900487126
"X.9.3782195e.001",0.350498724193923
"X.6.0558770e.001",0.38506147065646
